year,total
2018,22274
2017,53033
2016,32030
2015,34057
2014,41286
2013,15140
2012,18670
2011,39207
2010,45804
2009,18932
2008,56232
2007,43278
2006,42534
2005,44537
2004,44943
2003,32894
2002,31268
2001,10645
2000,32230
1999,4696
1998,6720
1997,5808
1996,3321
1995,3477
1994,6588
1993,4745
1992,5530
1991,7303
1990,3612
1989,1381
1988,867
1987,561
1986,829
1985,1353
1984,1290
1983,806
1982,1575
1981,2070
1980,1201
1979,360
1978,509
1977,593
1976,533
1975,652
1974,418
1973,439
1972,557
1971,690
1970,435
1969,566
1968,1218
1967,696
1966,738
1965,955
1964,1441
1963,837
1962,405
1961,302
1960,182
1959,178
1958,161
1957,175
1956,74
1955,54
1954,43
1953,9
1952,22
1951,20
1950,20
1949,13
1948,27
1947,24
1946,2
1945,3
1941,39
1940,25
1939,212
1938,106
1937,6
1936,14
1935,4
1934,12
1933,167
1932,13
1931,5
1929,3
1927,8
1926,5
1925,15
1924,4
1923,2
1922,3
1920,2
1919,1
1917,2
1915,1
1914,6
1913,5
1912,1
1911,3
1909,589
1908,504
1907,1
1906,458
1905,942
1904,86
1903,5
1902,311
1901,7
1900,16
1899,48
1898,2
1897,8
1896,3
1895,2
1894,1
1893,56
1891,141
1890,133
1889,146
1888,182
1887,73
1886,332
1885,715
1884,346
1883,230
1882,34
1881,80
1880,159
1879,893
1878,103
1877,103
1876,11
1875,16
1874,3
1873,28
1872,25
1871,61
1869,66
1868,63
1866,1
1861,2
1851,1
1842,5
